lib-type,mois,annee,NombreAgent
Détachement Entrant,5,2018,37
Concours Externe,5,2019,144
Contrat,5,2019,90
Détachement Entrant,5,2019,52
Intégration,5,2019,13
Concours Externe,5,2020,346
Contrat,5,2020,81
Détachement Entrant,5,2020,56
Intégration,5,2020,23
Concours Externe,5,2021,345
Contrat,5,2021,77
Détachement Entrant,5,2021,53
Intégration,5,2021,12
Concours Externe,6,2017,79
Contrat,6,2017,13
Concours Externe,6,2018,144
Contrat,6,2018,89
Détachement Entrant,6,2018,37
Concours Externe,6,2019,144
Contrat,6,2019,90
Détachement Entrant,6,2019,52
Intégration,6,2019,13
Concours Externe,6,2020,346
Contrat,6,2020,81
Détachement Entrant,6,2020,56
Intégration,6,2020,23
Concours Externe,6,2021,345
Contrat,6,2021,77
Détachement Entrant,6,2021,53
Intégration,6,2021,12
Concours Externe,7,2017,79
Contrat,7,2017,13
Concours Externe,7,2018,144
Contrat,7,2018,89
Détachement Entrant,7,2018,37
Concours Externe,7,2019,144
Contrat,7,2019,89
Détachement Entrant,7,2019,52
Intégration,7,2019,14
Concours Externe,7,2020,346
Contrat,7,2020,81
Détachement Entrant,7,2020,56
Intégration,7,2020,23
Concours Externe,7,2021,345
Contrat,7,2021,77
Détachement Entrant,7,2021,54
Intégration,7,2021,12
Concours Externe,8,2017,95
Contrat,8,2017,13
Concours Externe,8,2018,144
Contrat,8,2018,89
Détachement Entrant,8,2018,37
Concours Externe,8,2019,144
Contrat,8,2019,89
Détachement Entrant,8,2019,56
Intégration,8,2019,14
Concours Externe,8,2020,346
Contrat,8,2020,81
Détachement Entrant,8,2020,55
Intégration,8,2020,23
Concours Externe,8,2021,345
Contrat,8,2021,77
Détachement Entrant,8,2021,54
Intégration,8,2021,12
Concours Externe,9,2017,119
Contrat,9,2017,13
Concours Externe,9,2018,144
Contrat,9,2018,89
Détachement Entrant,9,2018,37
Concours Externe,9,2019,238
Contrat,9,2019,88
Détachement Entrant,9,2019,56
Intégration,9,2019,15
Concours Externe,9,2020,346
Contrat,9,2020,81
Détachement Entrant,9,2020,55
Intégration,9,2020,23
Concours Externe,9,2021,345
Contrat,9,2021,77
Détachement Entrant,9,2021,54
Intégration,9,2021,12
